transaction_id,account_id,amount,currency,merchant,category,timestamp,status
T300000,A2190,61.94,USD,Spotify,FOOD,2023-09-14T02:57:30,SETTLED
T300001,A2314,6.13,EUR,Ikea,SHOPPING,2025-09-02T09:12:57,SETTLED
T300002,A2562,26.11,USD,Amazon,TRAVEL,2024-07-23T15:41:35,SETTLED
T300003,A2660,94.18,GBP,Amazon,TRAVEL,2023-09-27T17:47:08,SETTLED
T300004,A2779,22.92,EUR,Spotify,TRAVEL,2024-03-08T03:27:31,SETTLED
T300005,A2561,44.71,GBP,Ikea,FOOD,2024-11-02T19:12:01,SETTLED
T300006,A2757,35.04,GBP,Ikea,FOOD,2024-06-04T05:52:18,SETTLED
T300007,A2112,51.92,USD,Ikea,FOOD,2025-01-15T02:52:52,SETTLED
T300008,A2169,180.4,EUR,Uber,TRAVEL,2025-06-22T06:51:35,SETTLED
T300009,A2467,2.87,GBP,Ikea,SHOPPING,2025-02-28T19:06:44,SETTLED
T300010,A2677,42.66,EUR,Zara,ENTERTAINMENT,2025-07-21T12:14:00,SETTLED
T300011,A2013,99.4,GBP,Starbucks,TRAVEL,2023-09-16T14:55:35,DECLINED
T300012,A2714,32.83,GBP,Ikea,TRAVEL,2024-05-26T09:14:33,SETTLED
T300013,A2287,4.09,USD,Uber,SHOPPING,2023-09-10T07:19:13,SETTLED
T300014,A2188,41.11,EUR,Zara,ENTERTAINMENT,2025-04-20T15:31:51,SETTLED
T300015,A2154,20.18,USD,Uber,ENTERTAINMENT,2025-01-31T17:05:52,SETTLED
T300016,A2566,8.42,USD,Uber,FOOD,2024-06-27T10:20:14,SETTLED
T300017,A2693,94.54,USD,Spotify,ENTERTAINMENT,2025-06-29T14:41:05,SETTLED
T300018,A2721,36.87,USD,Uber,FOOD,2025-04-04T10:55:26,SETTLED
T300019,A2470,135.36,USD,Uber,TRAVEL,2025-03-27T00:20:13,SETTLED
T300020,A2074,82.0,GBP,Amazon,SHOPPING,2024-05-05T00:28:47,SETTLED
T300021,A2276,59.04,EUR,Starbucks,TRAVEL,2023-11-28T21:48:58,SETTLED
T300022,A2644,0.25,EUR,Spotify,ENTERTAINMENT,2024-02-15T13:09:59,SETTLED
T300023,A2342,27.92,USD,Spotify,TRAVEL,2024-10-24T16:31:26,SETTLED
